Gene	Chromosome	Start	End	Strand
MORN2	chr2	38875962	38882709	+
MORN3	chr12	121648742	121669654	-
MORN4	chr10	97614553	97633500	-
MORN5	chr9	122159908	122200088	+
MOS	chr8	56112942	56113982	-
MOSMO	chr16	22007638	22087533	+
MOSPD1	chrX	134887632	134915257	-
MOSPD2	chrX	14873421	14922327	+
MOSPD3	chr7	100612102	100615384	+
MOV10	chr1	112674421	112700746	+
MOV10L1	chr22	50089879	50161690	+
MOXD1	chr6	132296055	132401475	-
MPC1	chr6	166364919	166383013	-
MPC1L	chrX	40623566	40624136	+
MPC2	chr1	167916675	167937072	-
MPDU1	chr17	7583529	7592789	+
MPDZ	chr9	13105704	13279590	-
MPEG1	chr11	59208510	59212927	-
MPG	chr16	77007	85851	+
MPHOSPH10	chr2	71130632	71150101	+
MPHOSPH6	chr16	82148162	82170224	-
MPHOSPH8	chr13	19633659	19673441	+
MPHOSPH9	chr12	123152324	123244014	-
MPI	chr15	74890005	74902219	+
MPIG6B	chr6	31723344	31726714	+
MPL	chr1	43337818	43354466	+
MPLKIP	chr7	40126027	40134622	-
MPND	chr19	4343527	4360086	+
MPO	chr17	58269855	58280935	-
MPP1	chrX	154778684	154821007	-
MPP2	chr17	43875357	43909711	-
MPP3	chr17	43800799	43833146	-
MPP4	chr2	201644870	201698694	-
MPP5	chr14	67241423	67336061	+
MPP6	chr7	24573268	24694193	+
MPP7	chr10	28050993	28334486	-
MPPE1	chr18	11882622	11908366	-
MPPED1	chr22	43411196	43507848	+
MPPED2	chr11	30384493	30586872	-
MPRIP	chr17	17042457	17217679	+
MPST	chr22	37019635	37029822	+
MPV17	chr2	27309492	27325680	-
MPV17L	chr16	15395754	15413271	+
MPV17L2	chr19	18193218	18196948	+
MPZ	chr1	161304735	161309968	-
MPZL1	chr1	167721982	167791919	+
MPZL2	chr11	118253416	118264536	-
MPZL3	chr11	118226690	118252365	-
MR1	chr1	181033425	181061938	+
MRAP	chr21	32291813	32314784	+
MRAP2	chr6	84033772	84090881	+
MRAS	chr3	138347648	138405534	+
MRC1	chr10	17809348	17911164	+
MRC2	chr17	62627670	62693597	+
MRE11	chr11	94415570	94493885	-
MREG	chr2	215942584	216034096	-
MRFAP1	chr4	6640091	6642745	+
MRFAP1L1	chr4	6707701	6709865	-
MRGBP	chr20	62796473	62801729	+
MRGPRD	chr11	68980021	68980986	-
MRGPRE	chr11	3225030	3232417	-
MRGPRF	chr11	69004395	69013382	-
MRGPRG	chr11	3217944	3218813	-
MRGPRX1	chr11	18933813	18939507	-
MRGPRX2	chr11	19054455	19060717	-
MRGPRX3	chr11	18120955	18138480	+
MRGPRX4	chr11	18172837	18174280	+
MRI1	chr19	13764522	13774282	+
MRLN	chr10	59736692	59753455	-
MRM1	chr17	36601583	36608964	+
MRM2	chr7	2234195	2242205	-
MRM3	chr17	782353	792509	+
MRNIP	chr5	179836634	179858834	-
MRO	chr18	50795120	50825402	-
MROH1	chr8	144148036	144261940	+
MROH2A	chr2	233775679	233833423	+
MROH2B	chr5	40998020	41071342	-
MROH5	chr8	141433829	141507230	-
MROH6	chr8	143566192	143572772	-
MROH7	chr1	54641754	54710266	+
MROH8	chr20	37101226	37178966	-
MROH9	chr1	170935471	171064765	+
MRPL1	chr4	77862830	77952785	+
MRPL10	chr17	47823272	47831541	-
MRPL11	chr11	66435075	66438848	-
MRPL12	chr17	81703367	81707517	+
MRPL13	chr8	120395437	120445150	-
MRPL14	chr6	44113451	44127452	-
MRPL15	chr8	54135241	54148514	+
MRPL16	chr11	59806140	59810778	-
MRPL17	chr11	6680385	6683340	-
MRPL18	chr6	159790467	159798429	+
MRPL19	chr2	75646783	75690851	+
MRPL2	chr6	43054029	43059438	-
MRPL20	chr1	1401909	1407293	-
MRPL21	chr11	68891276	68903832	-
MRPL22	chr5	154941073	154969411	+
MRPL23	chr11	1947278	1984522	+
MRPL24	chr1	156737303	156741590	-
MRPL27	chr17	50367857	50373207	-
MRPL28	chr16	366969	371289	-
MRPL3	chr3	131462212	131502983	-
MRPL30	chr2	99181184	99199561	+
MRPL32	chr7	42932376	42937857	+
MRPL33	chr2	27771717	27779734	+
MRPL34	chr19	17292609	17306843	+
MRPL35	chr2	86199355	86213790	+
MRPL36	chr5	1798385	1801366	-
MRPL37	chr1	54200167	54225464	+
MRPL38	chr17	75898644	75904884	-
MRPL39	chr21	25585656	25607517	-
MRPL4	chr19	10251901	10260055	+
MRPL40	chr22	19431902	19436075	+
MRPL41	chr9	137551879	137552555	+
MRPL42	chr12	93467488	93516214	+
MRPL43	chr10	100969458	100987515	-
MRPL44	chr2	223957463	223967714	+
MRPL45	chr17	38297023	38323217	+
MRPL46	chr15	88459478	88467390	-
MRPL47	chr3	179588285	179604649	-
MRPL48	chr11	73787874	73865133	+
MRPL49	chr11	65122311	65127371	+
MRPL50	chr9	101387633	101398618	-
MRPL51	chr12	6491886	6493841	-
MRPL52	chr14	22829883	22835037	+
MRPL53	chr2	74471982	74472687	-
MRPL54	chr19	3762682	3768575	+
MRPL55	chr1	228106679	228109312	-
MRPL57	chr13	21176658	21179084	+
MRPL58	chr17	75012670	75021261	+
MRPL9	chr1	151759647	151763496	-
MRPS10	chr6	42206807	42217861	-
MRPS11	chr15	88467708	88480776	+
MRPS12	chr19	38930548	38933162	+
MRPS14	chr1	175012958	175023425	-
MRPS15	chr1	36455718	36464384	-
MRPS16	chr10	73248849	73252693	-
MRPS17	chr7	55951877	55956500	+
MRPS18A	chr6	43671303	43687791	-
MRPS18B	chr6	30617840	30626392	+
MRPS18C	chr4	83455983	83467504	+
MRPS2	chr9	135499984	135504673	+
MRPS21	chr1	150293861	150308979	+
MRPS22	chr3	139005806	139357046	+
MRPS23	chr17	57834781	57850056	-
MRPS24	chr7	43866558	43869517	-
MRPS25	chr3	15048512	15065317	-
MRPS26	chr20	3046052	3048250	+
MRPS27	chr5	72219403	72320255	-
MRPS28	chr8	79918717	80030289	-
MRPS30	chr5	44808947	44815514	+
MRPS31	chr13	40729128	40771190	-
MRPS33	chr7	141002610	141015228	-
MRPS34	chr16	1771890	1773150	-
MRPS35	chr12	27710832	27756295	+
MRPS36	chr5	69217760	69230158	+
MRPS5	chr2	95085369	95121808	-
MRPS6	chr21	34073578	34143030	+
MRPS7	chr17	75261674	75266376	+
MRPS9	chr2	105038069	105099960	+
MRRF	chr9	122264603	122331337	+
MRS2	chr6	24402908	24426194	+
MRTFA	chr22	40410281	40636719	-
MRTFB	chr16	14071319	14266773	+
MRTO4	chr1	19251805	19260128	+
MS4A1	chr11	60455846	60470752	+
MS4A10	chr11	60785333	60801305	+
MS4A12	chr11	60492778	60507430	+
MS4A13	chr11	60515392	60542721	+
MS4A14	chr11	60378530	60417756	+
MS4A15	chr11	60756867	60776733	+
MS4A18	chr11	60729304	60744212	+
MS4A2	chr11	60088261	60098467	+
MS4A3	chr11	60056587	60071115	+
MS4A4A	chr11	60185702	60317944	+
MS4A4E	chr11	60200270	60243137	-
MS4A5	chr11	60429572	60447792	+
MS4A6A	chr11	60172014	60184666	-
MS4A6E	chr11	60334831	60340968	+
MS4A7	chr11	60378485	60395951	+
MS4A8	chr11	60699612	60715807	+
MSANTD1	chr4	3244369	3262541	+
MSANTD2	chr11	124766498	124800706	-
MSANTD3	chr9	100427143	100451734	+
MSANTD3-TMEFF1	chr9	100442271	100577636	+
MSANTD4	chr11	106007899	106022403	-
MSC	chr8	71841549	71844468	-
MSGN1	chr2	17816460	17817798	+
MSH2	chr2	47403067	47567156	+
MSH3	chr5	80654652	80876815	+
MSH4	chr1	75796882	75913242	+
MSH5	chr6	31739677	31762676	+
MSH6	chr2	47695819	47810063	+
MSI1	chr12	120341330	120369164	-
MSI2	chr17	57255851	57684689	+
MSL1	chr17	40121971	40136917	+
MSL2	chr3	136148917	136197241	-
MSL3	chrX	11758159	11775772	+
MSLN	chr16	760734	768865	+
MSLNL	chr16	769428	783370	-
MSMB	chr10	46033307	46048180	-
MSMO1	chr4	165327667	165343164	+
MSMP	chr9	35752990	35754276	-
MSN	chrX	65588377	65741931	+
MSR1	chr8	16107878	16567362	-
MSRA	chr8	10054292	10428891	+
MSRB1	chr16	1938210	1943326	-
MSRB2	chr10	23095579	23122013	+
MSRB3	chr12	65278643	65491430	+
MSS51	chr10	73423579	73433561	-
MST1	chr3	49683947	49689053	-
MST1R	chr3	49887002	49903873	-
MSTN	chr2	190055700	190062729	-
MSTO1	chr1	155610218	155614951	+
MSX1	chr4	4859665	4863936	+
MSX2	chr5	174724582	174730896	+
MT-ATP6	chrM	8527	9207	+
MT-ATP8	chrM	8366	8572	+
MT-CO1	chrM	5904	7445	+
MT-CO2	chrM	7586	8269	+
MT-CO3	chrM	9207	9990	+
MT-CYB	chrM	14747	15887	+
MT-ND1	chrM	3307	4262	+
MT-ND2	chrM	4470	5511	+
MT-ND3	chrM	10059	10404	+
MT-ND4	chrM	10760	12137	+
MT-ND4L	chrM	10470	10766	+
MT-ND5	chrM	12337	14148	+
MT-ND6	chrM	14149	14673	-
MT1A	chr16	56638666	56640087	+
MT1B	chr16	56651886	56653204	+
MT1E	chr16	56625475	56627112	+
MT1F	chr16	56657959	56659305	+
MT1G	chr16	56666730	56668065	-
MT1H	chr16	56669814	56671129	+
MT1HL1	chr1	237004103	237004441	-
MT1M	chr16	56632659	56633981	+
MT1X	chr16	56682470	56684196	+
MT2A	chr16	56608584	56609497	+
MT3	chr16	56589074	56591085	+
MT4	chr16	56565073	56568957	+
MTA1	chr14	105419820	105470729	+
MTA2	chr11	62593214	62601865	-
MTA3	chr2	42494569	42756947	+
MTAP	chr9	21802636	21937651	+
MTARC1	chr1	220786913	220819659	+
MTARC2	chr1	220748269	220784815	+
MTBP	chr8	120445419	120523636	+
MTCH1	chr6	36968141	36986298	-
MTCH2	chr11	47617317	47642607	-
MTCL1	chr18	8705661	8832778	+
MTCP1	chrX	155064034	155147775	-
MTDH	chr8	97644184	97730260	+
MTERF1	chr7	91870929	91880702	-
MTERF2	chr12	106977277	106987149	-
MTERF3	chr8	96239398	96261610	-
MTERF4	chr2	241087099	241102311	-
MTF1	chr1	37809574	37859592	-
MTF2	chr1	93079235	93139079	+
MTFMT	chr15	65001512	65029639	-
MTFP1	chr22	30425623	30429054	+
MTFR1	chr8	65644734	65771261	+
MTFR1L	chr1	25818640	25832942	+
MTFR2	chr6	136231024	136250324	-
MTG1	chr10	133394094	133422520	+
MTG2	chr20	62183045	62202767	+
MTHFD1	chr14	64388031	64463457	+
MTHFD1L	chr6	150865549	151101887	+
MTHFD2	chr2	74198610	74217565	+
MTHFD2L	chr4	74125438	74303099	+
MTHFR	chr1	11785723	11806063	-
MTHFS	chr15	79843547	79897379	-
MTHFSD	chr16	86530186	86555235	-
MTIF2	chr2	55236595	55269347	-
MTIF3	chr13	27435643	27450574	-
MTLN	chr2	110211529	110245420	-
MTM1	chrX	150568621	150673143	+
MTMR1	chrX	150692971	150765108	+
MTMR10	chr15	30938941	30991628	-
MTMR11	chr1	149928651	149936879	-
MTMR12	chr5	32226994	32312969	-
MTMR14	chr3	9649433	9702393	+
MTMR2	chr11	95832880	95924123	-
MTMR3	chr22	29883169	30030868	+
MTMR4	chr17	58489529	58517905	-
MTMR6	chr13	25246201	25288009	-
MTMR7	chr8	17296794	17413351	-
MTMR8	chrX	64268081	64395452	-
MTMR9	chr8	11284816	11328146	+
MTNR1A	chr4	186533655	186555567	-
MTNR1B	chr11	92969651	92985066	+
MTO1	chr6	73461578	73509236	+
MTOR	chr1	11106535	11262551	-
MTPAP	chr10	30309801	30349278	-
MTPN	chr7	135926760	135977359	-
MTR	chr1	236795292	236903981	+
MTRES1	chr6	107028199	107051586	+
MTREX	chr5	55307989	55425579	+
MTRF1	chr13	41216369	41263577	-
MTRF1L	chr6	152987362	153002709	-
MTRNR2L1	chr17	22523111	22524663	+
MTRNR2L10	chrX	55181392	55182442	-
MTRNR2L11	chr1	237943724	237945275	-
MTRNR2L12	chr3	96617188	96618236	-
MTRNR2L13	chr4	116298876	116300320	+
MTRNR2L3	chr20	57358447	57359498	-
MTRNR2L4	chr16	3370979	3372668	-
MTRNR2L5	chr10	55599042	55600728	+
MTRNR2L6	chr7	142666272	142667718	+
MTRNR2L7	chr10	37601440	37602974	-
MTRNR2L8	chr11	10507894	10509186	-
MTRR	chr5	7869104	7901124	+
MTSS1	chr8	124550784	124728473	-
MTSS2	chr16	70661204	70686053	-
MTTP	chr4	99563828	99623999	+
MTURN	chr7	30134986	30162762	+
MTUS1	chr8	17643795	17800917	-
MTUS2	chr13	28820348	29505947	+
MTX1	chr1	155208699	155213824	+
MTX2	chr2	176269442	176338025	+
MTX3	chr5	79976716	79991262	-
MUC1	chr1	155185824	155192915	-
MUC12	chr7	100969623	101018949	+
MUC13	chr3	124905442	124934751	-
MUC15	chr11	26559032	26572263	-
MUC16	chr19	8848844	8981342	-
MUC17	chr7	101020081	101058859	+
MUC19	chr12	40393395	40570752	+
MUC2	chr11	1074875	1110508	+
MUC20	chr3	195720884	195741123	+
MUC21	chr6	30983718	30989903	+
MUC22	chr6	31010474	31035402	+
MUC3A	chr7	100949534	100968347	+
MUC4	chr3	195746765	195811929	-
MUC5AC	chr11	1157953	1201138	+
MUC5B	chr11	1223066	1262172	+
MUC6	chr11	1012823	1036718	-
MUC7	chr4	70430492	70482997	+
MUCL1	chr12	54839369	54858387	+
MUCL3	chr6	30934523	30954221	+
MUL1	chr1	20499448	20508151	-
MUS81	chr11	65857126	65866440	+
MUSK	chr9	110668779	110806558	+
MUSTN1	chr3	52833114	52835019	-
MUTYH	chr1	45329163	45340470	-
MVB12A	chr19	17405722	17433724	+
MVB12B	chr9	126326829	126507040	+
MVD	chr16	88651940	88663137	-
MVK	chr12	109573255	109598125	+
MVP	chr16	29820394	29848039	+
MX1	chr21	41420515	41459214	+
MX2	chr21	41361999	41409393	+
MXD1	chr2	69897688	69942945	+
MXD3	chr5	177305500	177312757	-
MXD4	chr4	2247432	2262109	-
MXI1	chr10	110207605	110287365	+
MXRA5	chrX	3308565	3346652	-
MXRA7	chr17	76672551	76711016	-
MXRA8	chr1	1352689	1361777	-
MYADM	chr19	53865584	53876435	+
MYADML2	chr17	81939645	81947233	-
MYB	chr6	135181308	135219173	+
MYBBP1A	chr17	4538897	4555386	-
MYBL1	chr8	66562175	66613294	-
MYBL2	chr20	43667019	43716495	+
MYBPC1	chr12	101568353	101686028	+
MYBPC2	chr19	50432892	50466321	+
MYBPC3	chr11	47331406	47352702	-
MYBPH	chr1	203167811	203175826	-
MYBPHL	chr1	109292365	109307011	-
MYC	chr8	127735434	127742951	+
MYCBP	chr1	38862493	38873368	-
MYCBP2	chr13	77044657	77327094	-
MYCBPAP	chr17	50508384	50531501	+
MYCL	chr1	39895426	39902256	-
MYCN	chr2	15940550	15947007	+
MYCT1	chr6	152697895	152724567	+
MYD88	chr3	38138478	38143022	+
MYDGF	chr19	4641374	4670362	-
MYEF2	chr15	48134632	48178353	-
MYEOV	chr11	69294155	69297287	+
MYF5	chr12	80716912	80719671	+
MYF6	chr12	80707634	80709474	+
MYG1	chr12	53299695	53307177	+
MYH1	chr17	10492307	10518542	-
MYH10	chr17	8474207	8630761	-
MYH11	chr16	15703135	15857028	-
MYH13	chr17	10300865	10373130	-
MYH14	chr19	50188186	50310542	+
MYH15	chr3	108380368	108529322	-
MYH2	chr17	10521148	10549700	-
MYH3	chr17	10628532	10657309	-
MYH4	chr17	10443290	10469559	-
MYH6	chr14	23381987	23408273	-
MYH7	chr14	23412740	23435660	-
MYH7B	chr20	34975403	35002437	+
MYH8	chr17	10390322	10421950	-
MYH9	chr22	36281280	36387967	-
MYL1	chr2	210290150	210315174	-
MYL10	chr7	101613330	101629296	-
MYL12A	chr18	3247481	3256236	+
MYL12B	chr18	3261479	3278461	+
MYL2	chr12	110910819	110921443	-
MYL3	chr3	46835111	46882172	-
MYL4	chr17	47209035	47223679	+
MYL5	chr4	673580	682033	+
MYL6	chr12	56158346	56163008	+
MYL6B	chr12	56152256	56157982	+
MYL7	chr7	44138864	44141332	-
MYL9	chr20	36541497	36551447	+
MYLIP	chr6	16129086	16148248	+
MYLK	chr3	123610049	123884332	-
MYLK2	chr20	31819308	31834689	+
MYLK3	chr16	46702282	46763246	-
MYLK4	chr6	2663629	2750922	-
MYLPF	chr16	30370934	30377991	+
MYMK	chr9	133514586	133524959	-
MYMX	chr6	44216926	44218234	+
MYNN	chr3	169772831	169789716	+
MYO10	chr5	16661907	16936288	-
MYO15A	chr17	18108706	18179800	+
MYO15B	chr17	75588058	75626849	+
MYO16	chr13	108596152	109208005	+
MYO18A	chr17	29071124	29180412	-
MYO18B	chr22	25742144	26031045	+
MYO19	chr17	36495633	36534988	-
MYO1A	chr12	57028517	57051175	-
MYO1B	chr2	191245185	191425389	+
MYO1C	chr17	1464186	1492686	-
MYO1D	chr17	32492522	32877177	-
MYO1E	chr15	59132434	59372871	-
MYO1F	chr19	8520778	8577577	-
MYO1G	chr7	44962662	44979033	-
MYO1H	chr12	109347903	109448371	+
MYO3A	chr10	25934229	26212532	+
MYO3B	chr2	170178145	170655167	+
MYO5A	chr15	52307283	52529050	-
MYO5B	chr18	49822789	50195147	-
MYO5C	chr15	52192322	52295804	-
MYO6	chr6	75749192	75919537	+
MYO7A	chr11	77128246	77215241	+
MYO7B	chr2	127535802	127637728	+
MYO9A	chr15	71822291	72118577	-
MYO9B	chr19	17075781	17214537	+
MYOC	chr1	171635417	171652688	-
MYOCD	chr17	12665890	12768949	+
MYOCOS	chr1	171600621	171638799	+
MYOD1	chr11	17719571	17722136	+
MYOF	chr10	93306429	93482334	-
MYOG	chr1	203083129	203086012	-
MYOM1	chr18	3066807	3219968	-
MYOM2	chr8	2045046	2145456	+
MYOM3	chr1	24056035	24112135	-
MYORG	chr9	34366666	34376898	-
MYOT	chr5	137867858	137887851	+
MYOZ1	chr10	73631612	73641474	-
MYOZ2	chr4	119135832	119187789	+
MYOZ3	chr5	150660882	150679368	+
MYPN	chr10	68106117	68212017	+
MYPOP	chr19	45890023	45902613	-
MYRF	chr11	61752636	61788518	+
MYRFL	chr12	69825227	69959097	+
MYRIP	chr3	39808914	40260321	+
MYSM1	chr1	58643440	58700072	-
MYT1	chr20	64102394	64242253	+
MYT1L	chr2	1789113	2331348	-
MYZAP	chr15	57591904	57685364	+
MZB1	chr5	139387467	139389913	-
MZF1	chr19	58561932	58573575	-
MZT1	chr13	72708367	72727629	-
MZT2A	chr2	131483960	131492397	-
MZT2B	chr2	130181737	130190729	+
N4BP1	chr16	48538726	48610180	-
N4BP2	chr4	40056850	40158252	+
N4BP2L1	chr13	32400723	32428178	-
N4BP2L2	chr13	32432489	32538885	-
N4BP3	chr5	178113532	178126081	+
N6AMT1	chr21	28872191	28885371	-
NAA10	chrX	153929225	153935066	-
NAA11	chr4	79316647	79326061	-
NAA15	chr4	139301505	139420033	+
NAA16	chr13	41311267	41377030	+
NAA20	chr20	20017310	20033655	+
NAA25	chr12	112026689	112108783	-
NAA30	chr14	57390544	57415906	+
NAA35	chr9	85941146	86025462	+
NAA38	chr17	7856685	7885209	-
NAA40	chr11	63939002	63957319	+
NAA50	chr3	113716458	113746300	-
NAA60	chr16	3443649	3486953	+
NAA80	chr3	50296402	50299416	-
NAAA	chr4	75913660	75941013	-
NAALAD2	chr11	90131515	90192894	+
NAALADL1	chr11	65044818	65058553	-
NAALADL2	chr3	174440987	175810548	+
NAB1	chr2	190646746	190692766	+
NAB2	chr12	57089094	57095476	+
NABP1	chr2	191678136	191696662	+
NABP2	chr12	56222015	56229854	+
NACA	chr12	56712427	56731628	-
NACA2	chr17	61590421	61591219	-
NACAD	chr7	45080437	45088969	-
NACC1	chr19	13116862	13141147	+
NACC2	chr9	136006537	136095289	-
NADK	chr1	1751232	1780069	-
NADK2	chr5	36192589	36242279	-
NADSYN1	chr11	71453203	71501816	+
NAE1	chr16	66802875	66873256	-
NAF1	chr4	163110073	163166890	-
NAGA	chr22	42058334	42070842	-
NAGK	chr2	71068278	71079808	+
NAGLU	chr17	42536241	42544449	+
NAGPA	chr16	5024844	5033935	-
NAGS	chr17	44004622	44009068	+
NAIF1	chr9	128061233	128067320	-
NAIP	chr5	70968166	71025339	-
NALCN	chr13	101053776	101416508	-
NAMPT	chr7	106248298	106286326	-
NANOG	chr12	7787794	7799146	+
NANOGNB	chr12	7765216	7774121	+
NANOGP8	chr15	35083410	35085295	-
NANOS1	chr10	119029714	119033730	+
NANOS2	chr19	45913214	45914778	-
NANOS3	chr19	13877247	13880750	+
NANP	chr20	25612935	25624014	-
NANS	chr9	98056732	98083077	+
NAP1L1	chr12	76036585	76084735	-
NAP1L2	chrX	73212299	73214851	-
NAP1L3	chrX	93670930	93673578	-
NAP1L4	chr11	2944431	2992377	-
NAP1L5	chr4	88695913	88697829	-
NAPA	chr19	47487637	47515063	-
NAPB	chr20	23374519	23421519	-
NAPEPLD	chr7	103099776	103149560	-
NAPG	chr18	10526027	10552764	+
NAPRT	chr8	143574785	143578343	-
NAPSA	chr19	50358477	50365639	-
NARF	chr17	82458180	82490537	+
NARS1	chr18	57600656	57622213	-
NARS2	chr11	78435968	78574874	-
NASP	chr1	45583846	45618904	+
NAT1	chr8	18210109	18223689	+
NAT10	chr11	34105617	34146908	+
NAT14	chr19	55485188	55487568	+
NAT16	chr7	101170496	101180293	-
NAT2	chr8	18391282	18401218	+
NAT8	chr2	73640723	73642422	-
NAT8L	chr4	2059327	2069089	+
NAT9	chr17	74770529	74776365	-
NATD1	chr17	21238870	21253410	-
NAV1	chr1	201622885	201826969	+
NAV2	chr11	19350724	20121601	+
NAV3	chr12	77324641	78213010	+
NAXD	chr13	110615460	110639993	+
NAXE	chr1	156591762	156594299	+
NBAS	chr2	15166914	15561334	-
NBDY	chrX	56729241	56819179	+
NBEA	chr13	34942287	35672736	+
NBEAL1	chr2	203014879	203226378	+
NBEAL2	chr3	46979666	47009704	+
NBL1	chr1	19596979	19658456	+
NBN	chr8	89933331	89984667	-
NBPF1	chr1	16562319	16613487	-
NBPF10	chr1	146064711	146229000	-
NBPF11	chr1	148102046	148152322	-
NBPF12	chr1	146938744	146996202	+
NBPF14	chr1	148531385	148679742	-
NBPF15	chr1	144421386	144461647	-
NBPF19	chr1	149475338	149556361	+
NBPF20	chr1	145289900	145405778	-
NBPF26	chr1	120723949	120842110	+
NBPF3	chr1	21440128	21484900	+
NBPF4	chr1	108223341	108244081	-
NBPF6	chr1	108450282	108471002	+
NBPF9	chr1	149054027	149103561	-
NBR1	chr17	43170481	43211689	+
NCALD	chr8	101686542	102124907	-
NCAM1	chr11	112961247	113278436	+
NCAM2	chr21	20998409	21543329	+
NCAN	chr19	19211958	19252233	+
NCAPD2	chr12	6493387	6531955	+
NCAPD3	chr11	134150113	134225454	-
NCAPG	chr4	17810979	17844865	+
NCAPG2	chr7	158631169	158704804	-
NCAPH	chr2	96335766	96377091	+
NCAPH2	chr22	50508224	50524780	+
NCBP1	chr9	97633821	97673748	+
NCBP2	chr3	196935406	196942560	-
NCBP2AS2	chr3	196942674	196943543	+
NCBP2L	chrX	107774899	107795829	+
NCBP3	chr17	3802158	3846246	-
NCCRP1	chr19	39196964	39201884	+
NCDN	chr1	35557473	35567274	+
NCEH1	chr3	172630249	172711218	-
NCF1	chr7	74773962	74789376	+
NCF2	chr1	183555562	183590876	-
NCF4	chr22	36860988	36878017	+
NCK1	chr3	136862208	136951606	+
NCK2	chr2	105744912	105894274	+
NCKAP1	chr2	182909115	183038858	-
NCKAP1L	chr12	54497752	54548243	+
NCKAP5	chr2	132671788	133568463	-
NCKAP5L	chr12	49791146	49828413	-
NCKIPSD	chr3	48673844	48686364	-
NCL	chr2	231453531	231464484	-
NCLN	chr19	3185563	3209575	+
NCMAP	chr1	24556087	24609328	+
NCOA1	chr2	24491932	24770702	+
NCOA2	chr8	70109782	70403808	-
NCOA3	chr20	47501887	47656877	+
NCOA4	chr10	46005088	46030714	-
NCOA5	chr20	46060991	46089962	-
NCOA6	chr20	34697141	34825651	-
NCOA7	chr6	125781161	125932034	+
NCOR1	chr17	16029157	16218185	-
NCOR2	chr12	124324415	124567464	-
NCR1	chr19	54906148	54916140	+
NCR2	chr6	41335608	41350889	+
NCR3	chr6	31588895	31593006	-
NCR3LG1	chr11	17351800	17377341	+
NCS1	chr9	130172404	130237303	+
NCSTN	chr1	160343353	160358949	+
NDC1	chr1	53765478	53838296	-
NDC80	chr18	2571557	2616635	+
NDE1	chr16	15643267	15734691	+
NDEL1	chr17	8413131	8490411	+
NDFIP1	chr5	142108779	142154440	+
NDFIP2	chr13	79481124	79556075	+
NDN	chr15	23685400	23687305	-
NDNF	chr4	121035613	121073021	-
NDOR1	chr9	137205695	137217009	+
NDP	chrX	43948776	43973395	-
NDRG1	chr8	133237175	133302022	-
NDRG2	chr14	21016763	21070872	-
NDRG3	chr20	36651766	36746090	-
NDRG4	chr16	58462846	58513628	+
NDST1	chr5	150485818	150558211	+
NDST2	chr10	73801911	73811598	-
NDST3	chr4	118034486	118258634	+
NDST4	chr4	114827763	115113876	-
NDUFA1	chrX	119871832	119876662	+
NDUFA10	chr2	239892450	240025345	-
NDUFA11	chr19	5891276	5903790	-
NDUFA12	chr12	94971332	95003713	-
NDUFA13	chr19	19516225	19529054	+
NDUFA2	chr5	140645285	140647645	-
NDUFA3	chr19	54102852	54108533	+
NDUFA4	chr7	10931943	10940153	-
NDUFA4L2	chr12	57234903	57240692	-
NDUFA5	chr7	123536997	123557904	-
NDUFA6	chr22	42085526	42090884	-
NDUFA7	chr19	8311284	8321375	-
NDUFA8	chr9	122144058	122159779	-
NDUFA9	chr12	4649114	4694317	+
NDUFAB1	chr16	23581014	23596316	-
NDUFAF1	chr15	41387353	41402519	-
NDUFAF2	chr5	60945205	61153026	+
NDUFAF3	chr3	49020459	49023495	+
NDUFAF4	chr6	96889315	96897891	-
NDUFAF5	chr20	13785028	13821580	+
NDUFAF6	chr8	94895767	95058710	+
NDUFAF7	chr2	37231658	37249160	+
NDUFAF8	chr17	81239318	81241310	+
NDUFB1	chr14	92116122	92121917	-
NDUFB10	chr16	1959538	1961975	+
NDUFB11	chrX	47142216	47145038	-
NDUFB2	chr7	140690777	140722790	+
NDUFB3	chr2	201071433	201085750	+
NDUFB4	chr3	120596328	120602507	+
NDUFB5	chr3	179604787	179627647	+
NDUFB6	chr9	32553001	32573184	-
NDUFB7	chr19	14566078	14572066	-
NDUFB8	chr10	100523740	100530000	-
NDUFB9	chr8	124539101	124580648	+
NDUFC1	chr4	139289917	139302551	-
NDUFC2	chr11	78068297	78079862	-
NDUFC2-KCTD14	chr11	78016971	78079865	-
NDUFS1	chr2	206114817	206159509	-
NDUFS2	chr1	161199315	161214395	+
NDUFS3	chr11	47579029	47584562	+
NDUFS4	chr5	53560639	53683338	+
NDUFS5	chr1	39026318	39034636	+
NDUFS6	chr5	1801407	1816048	+
NDUFS7	chr19	1383527	1395589	+
NDUFS8	chr11	68030665	68036644	+
NDUFV1	chr11	67605653	67612554	+
NDUFV2	chr18	9102695	9134345	+
NDUFV3	chr21	42893268	42913304	+
NEB	chr2	151485336	151734487	-
NEBL	chr10	20779973	21174187	-
NECAB1	chr8	90791775	90959393	+
NECAB2	chr16	83968632	84002776	+
NECAB3	chr20	33657087	33674463	-
NECAP1	chr12	8076939	8097881	+
NECAP2	chr1	16440721	16460078	+
NECTIN1	chr11	119638098	119729200	-
NECTIN2	chr19	44846175	44889223	+
NECTIN3	chr3	111070071	111275563	+
NECTIN4	chr1	161070998	161089558	-
NEDD1	chr12	96907224	96953780	+
NEDD4	chr15	55826922	55993746	-
NEDD4L	chr18	58044226	58401540	+
NEDD8	chr14	24216857	24232367	-
